x,y,T
-0.49000, 0.24000,  5.5370308603E-01
-0.49000, 0.25000,  5.5833192121E-01
-0.49000, 0.26000,  5.6308317899E-01
-0.49000, 0.27000,  5.6795302838E-01
-0.49000, 0.28000,  5.7293768565E-01
-0.49000, 0.29000,  5.7803341523E-01
-0.49000, 0.30000,  5.8323653034E-01
-0.49000, 0.31000,  5.8854339321E-01
-0.49000, 0.32000,  5.9395041503E-01
-0.49000, 0.33000,  5.9945405554E-01
-0.49000, 0.34000,  6.0505082254E-01
-0.49000, 0.35000,  6.1073727100E-01
-0.49000, 0.36000,  6.1651000219E-01
-0.49000, 0.37000,  6.2236566262E-01
-0.49000, 0.38000,  6.2830094294E-01
-0.49000, 0.39000,  6.3431257692E-01
-0.49000, 0.40000,  6.4039734041E-01
-0.49000, 0.41000,  6.4655205049E-01
-0.49000, 0.42000,  6.5277356481E-01
-0.49000, 0.43000,  6.5905878120E-01
-0.49000, 0.44000,  6.6540463763E-01
-0.49000, 0.45000,  6.7180811253E-01
-0.49000, 0.46000,  6.7826622563E-01
-0.49000, 0.47000,  6.8477603929E-01
-0.49000, 0.48000,  6.9133466042E-01
-0.49000, 0.49000,  6.9793924302E-01
-0.49000, 0.50000,  7.0458699130E-01
-0.48000,-0.50000,  6.9711655337E-01
-0.48000,-0.49000,  6.9043061540E-01
-0.48000,-0.48000,  6.8378585331E-01
-0.48000,-0.47000,  6.7718510218E-01
-0.48000,-0.46000,  6.7063125508E-01
-0.48000,-0.45000,  6.6412725912E-01
-0.48000,-0.44000,  6.5767611215E-01
-0.48000,-0.43000,  6.5128086022E-01
-0.48000,-0.42000,  6.4494459556E-01
-0.48000,-0.41000,  6.3867045523E-01
-0.48000,-0.40000,  6.3246162032E-01
-0.48000,-0.39000,  6.2632131564E-01
-0.48000,-0.38000,  6.2025280977E-01
-0.48000,-0.37000,  6.1425941558E-01
-0.48000,-0.36000,  6.0834449090E-01
-0.48000,-0.35000,  6.0251143950E-01
-0.48000,-0.34000,  5.9676371212E-01
-0.48000,-0.33000,  5.9110480761E-01
-0.48000,-0.32000,  5.8553827409E-01
-0.48000,-0.31000,  5.8006770997E-01
-0.48000,-0.30000,  5.7469676494E-01
-0.48000,-0.29000,  5.6942914071E-01
-0.48000,-0.28000,  5.6426859159E-01
-0.48000,-0.27000,  5.5921892472E-01
-0.48000,-0.26000,  5.5428400008E-01
-0.48000,-0.25000,  5.4946773005E-01
-0.48000,-0.24000,  5.4477407868E-01
-0.48000,-0.23000,  5.4020706048E-01
-0.48000,-0.22000,  5.3577073878E-01
-0.48000,-0.21000,  5.3146922373E-01
-0.48000,-0.20000,  5.2730666981E-01
-0.48000,-0.19000,  5.2328727288E-01
-0.48000,-0.18000,  5.1941526695E-01
-0.48000,-0.17000,  5.1569492063E-01
-0.48000,-0.16000,  5.1213053329E-01
-0.48000,-0.15000,  5.0872643138E-01
-0.48000,-0.14000,  5.0548696474E-01
-0.48000,-0.13000,  5.0241650376E-01
-0.48000,-0.12000,  4.9951943741E-01
-0.48000,-0.11000,  4.9680017339E-01
-0.48000,-0.10000,  4.9426314133E-01
-0.48000,-0.09000,  4.9191280099E-01
-0.48000,-0.08000,  4.8975365865E-01
-0.48000,-0.07000,  4.8779029665E-01
-0.48000,-0.06000,  4.8602742517E-01
-0.48000,-0.05000,  4.8446997344E-01
-0.48000,-0.04000,  4.8312325514E-01
-0.48000,-0.03000,  4.8199328769E-01
-0.48000,-0.02000,  4.8108747637E-01
-0.48000,-0.01000,  4.8041636640E-01
-0.48000, 0.00000,  4.8000000000E-01
-0.48000, 0.01000,  4.8041636640E-01
-0.48000, 0.02000,  4.8108747637E-01
-0.48000, 0.03000,  4.8199328769E-01
-0.48000, 0.04000,  4.8312325514E-01
-0.48000, 0.05000,  4.8446997344E-01
-0.48000, 0.06000,  4.8602742517E-01
-0.48000, 0.07000,  4.8779029665E-01
-0.48000, 0.08000,  4.8975365865E-01
-0.48000, 0.09000,  4.9191280099E-01
-0.48000, 0.10000,  4.9426314133E-01
-0.48000, 0.11000,  4.9680017339E-01
-0.48000, 0.12000,  4.9951943741E-01
-0.48000, 0.13000,  5.0241650376E-01
-0.48000, 0.14000,  5.0548696474E-01
-0.48000, 0.15000,  5.0872643138E-01
-0.48000, 0.16000,  5.1213053329E-01
-0.48000, 0.17000,  5.1569492063E-01
-0.48000, 0.18000,  5.1941526695E-01
-0.48000, 0.19000,  5.2328727288E-01
-0.48000, 0.20000,  5.2730666981E-01
-0.48000, 0.21000,  5.3146922373E-01
-0.48000, 0.22000,  5.3577073878E-01
-0.48000, 0.23000,  5.4020706048E-01
-0.48000, 0.24000,  5.4477407868E-01
-0.48000, 0.25000,  5.4946773005E-01
-0.48000, 0.26000,  5.5428400008E-01
-0.48000, 0.27000,  5.5921892472E-01
-0.48000, 0.28000,  5.6426859159E-01
-0.48000, 0.29000,  5.6942914071E-01
-0.48000, 0.30000,  5.7469676494E-01
-0.48000, 0.31000,  5.8006770997E-01
-0.48000, 0.32000,  5.8553827409E-01
-0.48000, 0.33000,  5.9110480761E-01
-0.48000, 0.34000,  5.9676371212E-01
-0.48000, 0.35000,  6.0251143950E-01
-0.48000, 0.36000,  6.0834449090E-01
-0.48000, 0.37000,  6.1425941558E-01
-0.48000, 0.38000,  6.2025280977E-01
-0.48000, 0.39000,  6.2632131564E-01
-0.48000, 0.40000,  6.3246162032E-01
-0.48000, 0.41000,  6.3867045523E-01
-0.48000, 0.42000,  6.4494459556E-01
-0.48000, 0.43000,  6.5128086022E-01
-0.48000, 0.44000,  6.5767611215E-01
-0.48000, 0.45000,  6.6412725912E-01
-0.48000, 0.46000,  6.7063125508E-01
-0.48000, 0.47000,  6.7718510218E-01
-0.48000, 0.48000,  6.8378585331E-01
-0.48000, 0.49000,  6.9043061540E-01
-0.48000, 0.50000,  6.9711655337E-01
-0.47000,-0.50000,  6.8968027517E-01
-0.47000,-0.49000,  6.8295752121E-01
-0.47000,-0.48000,  6.7627385726E-01
-0.47000,-0.47000,  6.6963214990E-01
-0.47000,-0.46000,  6.6303533273E-01
-0.47000,-0.45000,  6.5648640165E-01
-0.47000,-0.44000,  6.4998841075E-01
-0.47000,-0.43000,  6.4354446893E-01
-0.47000,-0.42000,  6.3715773720E-01
-0.47000,-0.41000,  6.3083142664E-01
-0.47000,-0.40000,  6.2456879710E-01
-0.47000,-0.39000,  6.1837315632E-01
-0.47000,-0.38000,  6.1224785967E-01
-0.47000,-0.37000,  6.0619631034E-01
-0.47000,-0.36000,  6.0022195981E-01
-0.47000,-0.35000,  5.9432830869E-01
-0.47000,-0.34000,  5.8851890771E-01
-0.47000,-0.33000,  5.8279735887E-01
-0.47000,-0.32000,  5.7716731666E-01
-0.47000,-0.31000,  5.7163248920E-01
-0.47000,-0.30000,  5.6619663935E-01
-0.47000,-0.29000,  5.6086358569E-01
-0.47000,-0.28000,  5.5563720325E-01
-0.47000,-0.27000,  5.5052142400E-01
-0.47000,-0.26000,  5.4552023701E-01
-0.47000,-0.25000,  5.4063768833E-01
-0.47000,-0.24000,  5.3587788036E-01
-0.47000,-0.23000,  5.3124497089E-01
-0.47000,-0.22000,  5.2674317164E-01
-0.47000,-0.21000,  5.2237674636E-01
-0.47000,-0.20000,  5.1815000839E-01
-0.47000,-0.19000,  5.1406731788E-01
-0.47000,-0.18000,  5.1013307846E-01
-0.47000,-0.17000,  5.0635173365E-01
-0.47000,-0.16000,  5.0272776295E-01
-0.47000,-0.15000,  4.9926567792E-01
-0.47000,-0.14000,  4.9597001831E-01
-0.47000,-0.13000,  4.9284534883E-01
-0.47000,-0.12000,  4.8989625689E-01
-0.47000,-0.11000,  4.8712735228E-01
-0.47000,-0.10000,  4.8454326992E-01
-0.47000,-0.09000,  4.8214867766E-01
-0.47000,-0.08000,  4.7994829228E-01
-0.47000,-0.07000,  4.7794690881E-01
-0.47000,-0.06000,  4.7614945249E-01
-0.47000,-0.05000,  4.7456107089E-01
-0.47000,-0.04000,  4.7318730156E-01
-0.47000,-0.03000,  4.7203439689E-01
-0.47000,-0.02000,  4.7111002121E-01
-0.47000,-0.01000,  4.7042503821E-01
-0.47000, 0.00000,  4.7000000000E-01
-0.47000, 0.01000,  4.7042503821E-01
-0.47000, 0.02000,  4.7111002121E-01
-0.47000, 0.03000,  4.7203439689E-01
-0.47000, 0.04000,  4.7318730156E-01
-0.47000, 0.05000,  4.7456107089E-01
