i,orig,coef
238, -4.5330881022E-01,  7.8574858634E-02
239, -3.4564633654E-01, -2.5204996808E-02
240, -1.8410364124E-01, -1.1319878980E-01
241,  6.6203966097E-03, -1.3398239670E-01
242,  1.9739230310E-01, -7.5490929600E-02
243,  3.5907878858E-01,  2.7913159416E-02
244,  4.6698152652E-01,  1.1556844510E-01
245,  5.0459677642E-01,  1.3604845765E-01
246,  4.6612748142E-01,  7.7285892972E-02
247,  3.5736539552E-01, -2.6359237670E-02
248,  1.9480894367E-01, -1.1422793530E-01
249,  3.1511115984E-03, -1.3489610874E-01
250, -1.8848018952E-01, -7.6298757701E-02
251, -3.5095691424E-01,  2.7201899358E-02
252, -4.5958567381E-01,  1.1494476943E-01
253, -4.9786737145E-01,  1.3550379251E-01
254, -4.6000931212E-01,  7.6812132529E-02
255, -3.5180734202E-01, -2.6769690477E-02
256, -1.8976372083E-01, -1.1458214339E-01
