x,input,output
    6.800000,  9.5401628731E-06,  1.5555013706E-05
    6.900000,  6.7734499977E-06,  1.1198229132E-05
    7.000000,  4.7851173921E-06,  8.0226199772E-06
    7.100000,  3.3635957248E-06,  5.7196594825E-06
    7.200000,  2.3525752000E-06,  4.0579844645E-06
    7.300000,  1.6372378072E-06,  2.8650751446E-06
    7.400000,  1.1337271387E-06,  2.0130115716E-06
    7.500000,  7.8114894083E-07,  1.4074738605E-06
    7.600000,  5.3553478028E-07,  9.7930375504E-07
    7.700000,  3.6531713412E-07,  6.7807343280E-07
    7.800000,  2.4795960180E-07,  4.6721576214E-07
    7.900000,  1.6746357031E-07,  3.2036046857E-07
    8.000000,  1.1253517472E-07,  2.1859502340E-07
    8.100000,  7.5246232576E-08,  1.4842969129E-07
    8.200000,  5.0062180208E-08,  1.0029510056E-07
    8.300000,  3.3140822709E-08,  6.7439810045E-08
    8.400000,  2.1829577951E-08,  4.5126320138E-08
    8.500000,  1.4307241919E-08,  3.0048289024E-08
    8.600000,  9.3302875745E-09,  1.9910635226E-08
    8.700000,  6.0542822825E-09,  1.3128808917E-08
    8.800000,  3.9089384343E-09,  8.6146908207E-09
    8.900000,  2.5112128333E-09,  5.6250649552E-09
    9.000000,  1.6052280552E-09,  3.6550068779E-09
    9.100000,  1.0209829472E-09,  2.3633117085E-09
    9.200000,  6.4614317731E-10,  1.5206361700E-09
    9.300000,  4.0688114507E-10,  9.7364466376E-10
    9.400000,  2.5493818804E-10,  6.2036300397E-10
    9.500000,  1.5893910095E-10,  3.9333346857E-10
    9.600000,  9.8595055760E-11,  2.4740364537E-10
    9.700000,  6.0856651055E-11,  1.5458701381E-10
    9.800000,  3.7375713279E-11,  9.5846724963E-11
    9.900000,  2.2840176580E-11,  5.8857529957E-11
   10.000000,  1.3887943865E-11,  3.5681331044E-11
