iter,energy
   359,  6.2664578994E-01
   360,  6.2664575862E-01
   361,  6.2664572729E-01
   362,  6.2664569596E-01
   363,  6.2664566464E-01
   364,  6.2664563331E-01
   365,  6.2664560199E-01
   366,  6.2664557066E-01
   367,  6.2664553933E-01
   368,  6.2664550801E-01
   369,  6.2664547668E-01
   370,  6.2664544535E-01
   371,  6.2664541403E-01
   372,  6.2664538270E-01
   373,  6.2664535137E-01
   374,  6.2664532005E-01
   375,  6.2664528872E-01
   376,  6.2664525739E-01
   377,  6.2664522607E-01
   378,  6.2664519474E-01
   379,  6.2664516342E-01
   380,  6.2664513209E-01
   381,  6.2664510076E-01
   382,  6.2664506944E-01
   383,  6.2664503811E-01
   384,  6.2664500678E-01
   385,  6.2664497546E-01
   386,  6.2664494413E-01
   387,  6.2664491281E-01
   388,  6.2664488148E-01
   389,  6.2664485015E-01
   390,  6.2664481883E-01
   391,  6.2664478750E-01
   392,  6.2664475617E-01
   393,  6.2664472485E-01
   394,  6.2664469352E-01
   395,  6.2664466220E-01
   396,  6.2664463087E-01
   397,  6.2664459954E-01
   398,  6.2664456822E-01
   399,  6.2664453689E-01
   400,  6.2664450557E-01
   401,  6.2664447424E-01
   402,  6.2664444291E-01
   403,  6.2664441159E-01
   404,  6.2664438026E-01
   405,  6.2664434894E-01
   406,  6.2664431761E-01
   407,  6.2664428629E-01
   408,  6.2664425496E-01
   409,  6.2664422363E-01
   410,  6.2664419231E-01
   411,  6.2664416098E-01
   412,  6.2664412966E-01
   413,  6.2664409833E-01
   414,  6.2664406700E-01
   415,  6.2664403568E-01
   416,  6.2664400435E-01
   417,  6.2664397303E-01
   418,  6.2664394170E-01
   419,  6.2664391038E-01
   420,  6.2664387905E-01
   421,  6.2664384773E-01
   422,  6.2664381640E-01
   423,  6.2664378507E-01
   424,  6.2664375375E-01
   425,  6.2664372242E-01
   426,  6.2664369110E-01
   427,  6.2664365977E-01
   428,  6.2664362845E-01
   429,  6.2664359712E-01
   430,  6.2664356580E-01
   431,  6.2664353447E-01
   432,  6.2664350314E-01
   433,  6.2664347182E-01
   434,  6.2664344049E-01
   435,  6.2664340917E-01
   436,  6.2664337784E-01
   437,  6.2664334652E-01
   438,  6.2664331519E-01
   439,  6.2664328387E-01
   440,  6.2664325254E-01
   441,  6.2664322122E-01
   442,  6.2664318989E-01
   443,  6.2664315857E-01
   444,  6.2664312724E-01
   445,  6.2664309592E-01
   446,  6.2664306459E-01
   447,  6.2664303327E-01
   448,  6.2664300194E-01
   449,  6.2664297062E-01
   450,  6.2664293929E-01
   451,  6.2664290797E-01
   452,  6.2664287664E-01
   453,  6.2664284531E-01
   454,  6.2664281399E-01
   455,  6.2664278266E-01
   456,  6.2664275134E-01
   457,  6.2664272001E-01
   458,  6.2664268869E-01
   459,  6.2664265737E-01
   460,  6.2664262604E-01
   461,  6.2664259472E-01
   462,  6.2664256339E-01
   463,  6.2664253207E-01
   464,  6.2664250074E-01
   465,  6.2664246942E-01
   466,  6.2664243809E-01
   467,  6.2664240677E-01
   468,  6.2664237544E-01
   469,  6.2664234412E-01
   470,  6.2664231279E-01
   471,  6.2664228147E-01
   472,  6.2664225014E-01
   473,  6.2664221882E-01
   474,  6.2664218749E-01
   475,  6.2664215617E-01
   476,  6.2664212484E-01
   477,  6.2664209352E-01
   478,  6.2664206219E-01
   479,  6.2664203087E-01
   480,  6.2664199955E-01
   481,  6.2664196822E-01
   482,  6.2664193690E-01
   483,  6.2664190557E-01
   484,  6.2664187425E-01
   485,  6.2664184292E-01
   486,  6.2664181160E-01
   487,  6.2664178027E-01
   488,  6.2664174895E-01
   489,  6.2664171762E-01
   490,  6.2664168630E-01
   491,  6.2664165498E-01
   492,  6.2664162365E-01
   493,  6.2664159233E-01
   494,  6.2664156100E-01
   495,  6.2664152968E-01
   496,  6.2664149835E-01
   497,  6.2664146703E-01
   498,  6.2664143571E-01
   499,  6.2664140438E-01
   500,  6.2664137306E-01
   501,  6.2664134173E-01
   502,  6.2664131041E-01
   503,  6.2664127908E-01
   504,  6.2664124776E-01
   505,  6.2664121644E-01
   506,  6.2664118511E-01
   507,  6.2664115379E-01
   508,  6.2664112246E-01
   509,  6.2664109114E-01
   510,  6.2664105982E-01
   511,  6.2664102849E-01
   512,  6.2664099717E-01
   513,  6.2664096584E-01
   514,  6.2664093452E-01
   515,  6.2664090320E-01
   516,  6.2664087187E-01
   517,  6.2664084055E-01
   518,  6.2664080922E-01
   519,  6.2664077790E-01
   520,  6.2664074658E-01
   521,  6.2664071525E-01
   522,  6.2664068393E-01
   523,  6.2664065260E-01
   524,  6.2664062128E-01
   525,  6.2664058996E-01
   526,  6.2664055863E-01
   527,  6.2664052731E-01
   528,  6.2664049599E-01
   529,  6.2664046466E-01
   530,  6.2664043334E-01
   531,  6.2664040201E-01
   532,  6.2664037069E-01
   533,  6.2664033937E-01
   534,  6.2664030804E-01
   535,  6.2664027672E-01
   536,  6.2664024540E-01
   537,  6.2664021407E-01
   538,  6.2664018275E-01
   539,  6.2664015143E-01
   540,  6.2664012010E-01
   541,  6.2664008878E-01
   542,  6.2664005745E-01
   543,  6.2664002613E-01
   544,  6.2663999481E-01
   545,  6.2663996348E-01
   546,  6.2663993216E-01
   547,  6.2663990084E-01
   548,  6.2663986951E-01
   549,  6.2663983819E-01
   550,  6.2663980687E-01
   551,  6.2663977554E-01
   552,  6.2663974422E-01
   553,  6.2663971290E-01
   554,  6.2663968157E-01
   555,  6.2663965025E-01
   556,  6.2663961893E-01
   557,  6.2663958760E-01
   558,  6.2663955628E-01
   559,  6.2663952496E-01
   560,  6.2663949363E-01
   561,  6.2663946231E-01
   562,  6.2663943099E-01
   563,  6.2663939966E-01
   564,  6.2663936834E-01
   565,  6.2663933702E-01
   566,  6.2663930570E-01
   567,  6.2663927437E-01
   568,  6.2663924305E-01
   569,  6.2663921173E-01
   570,  6.2663918040E-01
   571,  6.2663914908E-01
   572,  6.2663911776E-01
   573,  6.2663908643E-01
   574,  6.2663905511E-01
   575,  6.2663902379E-01
   576,  6.2663899247E-01
   577,  6.2663896114E-01
   578,  6.2663892982E-01
   579,  6.2663889850E-01
   580,  6.2663886717E-01
   581,  6.2663883585E-01
   582,  6.2663880453E-01
   583,  6.2663877321E-01
   584,  6.2663874188E-01
   585,  6.2663871056E-01
   586,  6.2663867924E-01
   587,  6.2663864791E-01
   588,  6.2663861659E-01
   589,  6.2663858527E-01
   590,  6.2663855395E-01
   591,  6.2663852262E-01
   592,  6.2663849130E-01
   593,  6.2663845998E-01
   594,  6.2663842866E-01
   595,  6.2663839733E-01
   596,  6.2663836601E-01
   597,  6.2663833469E-01
   598,  6.2663830336E-01
   599,  6.2663827204E-01
   600,  6.2663824072E-01
   601,  6.2663820940E-01
   602,  6.2663817807E-01
   603,  6.2663814675E-01
   604,  6.2663811543E-01
   605,  6.2663808411E-01
   606,  6.2663805279E-01
   607,  6.2663802146E-01
   608,  6.2663799014E-01
   609,  6.2663795882E-01
   610,  6.2663792750E-01
   611,  6.2663789617E-01
   612,  6.2663786485E-01
   613,  6.2663783353E-01
   614,  6.2663780221E-01
   615,  6.2663777088E-01
   616,  6.2663773956E-01
   617,  6.2663770824E-01
   618,  6.2663767692E-01
   619,  6.2663764560E-01
   620,  6.2663761427E-01
   621,  6.2663758295E-01
   622,  6.2663755163E-01
   623,  6.2663752031E-01
   624,  6.2663748898E-01
   625,  6.2663745766E-01
   626,  6.2663742634E-01
   627,  6.2663739502E-01
   628,  6.2663736370E-01
   629,  6.2663733237E-01
   630,  6.2663730105E-01
   631,  6.2663726973E-01
   632,  6.2663723841E-01
   633,  6.2663720709E-01
   634,  6.2663717576E-01
   635,  6.2663714444E-01
   636,  6.2663711312E-01
   637,  6.2663708180E-01
   638,  6.2663705048E-01
   639,  6.2663701916E-01
   640,  6.2663698783E-01
   641,  6.2663695651E-01
   642,  6.2663692519E-01
   643,  6.2663689387E-01
   644,  6.2663686255E-01
   645,  6.2663683122E-01
   646,  6.2663679990E-01
   647,  6.2663676858E-01
   648,  6.2663673726E-01
   649,  6.2663670594E-01
   650,  6.2663667462E-01
   651,  6.2663664329E-01
