x,y,distance
  0.0700,  0.0100,5.838288E-01
  0.0800,  0.0100,5.772295E-01
  0.0900,  0.0100,5.707162E-01
  0.1000,  0.0100,5.642915E-01
  0.1100,  0.0100,5.579583E-01
  0.1200,  0.0100,5.517193E-01
  0.1300,  0.0100,5.455773E-01
  0.1400,  0.0100,5.395352E-01
  0.1500,  0.0100,5.335962E-01
  0.1600,  0.0100,5.277632E-01
  0.1700,  0.0100,5.220395E-01
  0.1800,  0.0100,5.164282E-01
  0.1900,  0.0100,5.109326E-01
  0.2000,  0.0100,5.055561E-01
  0.2100,  0.0100,5.003022E-01
  0.2200,  0.0100,4.951742E-01
  0.2300,  0.0100,4.901758E-01
  0.2400,  0.0100,4.853105E-01
  0.2500,  0.0100,4.805821E-01
  0.2600,  0.0100,4.759942E-01
  0.2700,  0.0100,4.715506E-01
  0.2800,  0.0100,4.672553E-01
  0.2900,  0.0100,4.631120E-01
  0.3000,  0.0100,4.591247E-01
  0.3100,  0.0100,4.552976E-01
  0.3200,  0.0100,4.516348E-01
  0.3300,  0.0100,4.481406E-01
  0.3400,  0.0100,4.448194E-01
  0.3500,  0.0100,4.416758E-01
  0.3600,  0.0100,4.387146E-01
  0.3700,  0.0100,4.359410E-01
  0.3800,  0.0100,4.333602E-01
  0.3900,  0.0100,4.309781E-01
  0.4000,  0.0100,4.288008E-01
  0.4100,  0.0100,4.268352E-01
  0.4200,  0.0100,4.250886E-01
  0.4300,  0.0100,4.235693E-01
  0.4400,  0.0100,4.222866E-01
  0.4500,  0.0100,4.212522E-01
  0.4600,  0.0100,4.204811E-01
  0.4700,  0.0100,4.200000E-01
  0.4800,  0.0100,4.200000E-01
  0.4900,  0.0100,4.200000E-01
  0.5000,  0.0100,4.200000E-01
  0.5100,  0.0100,4.200000E-01
  0.5200,  0.0100,4.200000E-01
  0.5300,  0.0100,4.200000E-01
  0.5400,  0.0100,4.204811E-01
  0.5500,  0.0100,4.212522E-01
  0.5600,  0.0100,4.222866E-01
  0.5700,  0.0100,4.235693E-01
  0.5800,  0.0100,4.250886E-01
  0.5900,  0.0100,4.268352E-01
  0.6000,  0.0100,4.288008E-01
  0.6100,  0.0100,4.309781E-01
  0.6200,  0.0100,4.333602E-01
  0.6300,  0.0100,4.359410E-01
  0.6400,  0.0100,4.387146E-01
  0.6500,  0.0100,4.416758E-01
  0.6600,  0.0100,4.448194E-01
  0.6700,  0.0100,4.481406E-01
  0.6800,  0.0100,4.516348E-01
  0.6900,  0.0100,4.552976E-01
  0.7000,  0.0100,4.591247E-01
  0.7100,  0.0100,4.631119E-01
  0.7200,  0.0100,4.672552E-01
  0.7300,  0.0100,4.715506E-01
  0.7400,  0.0100,4.759941E-01
  0.7500,  0.0100,4.805819E-01
  0.7600,  0.0100,4.853103E-01
  0.7700,  0.0100,4.901755E-01
  0.7800,  0.0100,4.951738E-01
  0.7900,  0.0100,5.003017E-01
  0.8000,  0.0100,5.055555E-01
  0.8100,  0.0100,5.109318E-01
  0.8200,  0.0100,5.164271E-01
  0.8300,  0.0100,5.220382E-01
  0.8400,  0.0100,5.277616E-01
  0.8500,  0.0100,5.335942E-01
  0.8600,  0.0100,5.395329E-01
  0.8700,  0.0100,5.455744E-01
  0.8800,  0.0100,5.517158E-01
  0.8900,  0.0100,5.579542E-01
  0.9000,  0.0100,5.642868E-01
  0.9100,  0.0100,5.707106E-01
  0.9200,  0.0100,5.772230E-01
  0.9300,  0.0100,5.838213E-01
  0.9400,  0.0100,5.905030E-01
  0.9500,  0.0100,5.972656E-01
  0.9600,  0.0100,6.041066E-01
  0.9700,  0.0100,6.110237E-01
  0.9800,  0.0100,6.180146E-01
  0.9900,  0.0100,6.250772E-01
  1.0000,  0.0100,6.322091E-01
  0.0000,  0.0200,6.252201E-01
  0.0100,  0.0200,6.180159E-01
  0.0200,  0.0200,6.108806E-01
  0.0300,  0.0200,6.038164E-01
  0.0400,  0.0200,5.968255E-01
  0.0500,  0.0200,5.899101E-01
