i,orig,reconstructed,abs_err
159, -3.3084087864E-02,  3.4412293548E-01,  3.7720702334E-01
160, -1.2136182697E-01,  4.8951731291E-01,  6.1087913988E-01
161, -1.4245845446E-01,  6.6391576334E-01,  8.0637421780E-01
162, -8.4303874091E-02,  8.3821814094E-01,  9.2252201504E-01
163,  1.8745225239E-02,  9.8332377199E-01,  9.6457854676E-01
164,  1.0603368668E-01,  1.0745661604E+00,  9.6853247376E-01
165,  1.2614175578E-01,  1.0954725422E+00,  9.6933078646E-01
166,  6.7009223296E-02,  1.0402759191E+00,  9.7326669583E-01
167, -3.6996501972E-02,  9.1479712704E-01,  9.5179362901E-01
168, -1.2520880679E-01,  7.3556264251E-01,  8.6077144930E-01
169, -1.4619586391E-01,  5.2729242404E-01,  6.7348828795E-01
170, -8.7884918172E-02,  3.1914023356E-01,  4.0702515173E-01
171,  1.5369475497E-02,  1.4025880744E-01,  1.2488933194E-01
172,  1.0291368049E-01,  1.5365033006E-02,  8.7548647484E-02
173,  1.2332876628E-01, -3.9019713789E-02,  1.6234848007E-01
174,  6.4554577656E-02, -1.7081700033E-02,  8.1636277689E-02
175, -3.9042254408E-02,  7.5403008086E-02,  1.1444526249E-01
176, -1.2679677422E-01,  2.2195066159E-01,  3.4874743581E-01
177, -1.4727972315E-01,  3.9788192045E-01,  5.4516164360E-01
178, -8.8421838578E-02,  5.7408147563E-01,  6.6250331421E-01
179,  1.5417915234E-02,  7.2143283176E-01,  7.0601491653E-01
180,  1.0358060398E-01,  8.1525309461E-01,  7.1167249064E-01
181,  1.2464116122E-01,  8.3905260725E-01,  7.1441144603E-01
182,  6.6532529650E-02,  7.8704706538E-01,  7.2051453573E-01
183, -3.6386234985E-02,  6.6503966644E-01,  7.0142590143E-01
184, -1.2345831234E-01,  4.8953899561E-01,  6.1299730795E-01
185, -1.4326300833E-01,  2.8524694506E-01,  4.2850995339E-01
186, -8.3739907869E-02,  8.1299111374E-02,  1.6503901924E-01
187,  2.0743052987E-02, -9.3169959670E-02,  1.1391301266E-01
188,  1.0951801112E-01, -2.1346152559E-01,  3.2297953671E-01
189,  1.3115118644E-01, -2.6307224132E-01,  3.9422342776E-01
190,  7.3567195793E-02, -2.3620622584E-01,  3.0977342163E-01
191, -2.8882674218E-02, -1.3865715661E-01,  1.0977448239E-01
192, -1.1554865505E-01,  1.3073904796E-02,  1.2862255984E-01
193, -1.3501623889E-01,  1.9429065879E-01,  3.2930689767E-01
194, -7.5230199601E-02,  3.7586124018E-01,  4.5109143978E-01
195,  2.9437446707E-02,  5.2865304734E-01,  4.9921560064E-01
196,  1.1831595438E-01,  6.2796757203E-01,  5.0965161765E-01
197,  1.3996992119E-01,  6.5730007376E-01,  5.1733015257E-01
198,  8.2323637751E-02,  6.1085172926E-01,  5.2852809151E-01
199, -2.0270632461E-02,  4.9441181151E-01,  5.1468244398E-01
200, -1.0716086237E-01,  3.2447560158E-01,  4.3163646395E-01
201, -1.2692905337E-01,  1.2573232959E-01,  2.5266138297E-01
202, -6.7515332249E-02, -7.2694409970E-02,  5.1790777210E-03
203,  3.6713987808E-02, -2.4168139972E-01,  2.7839538753E-01
204,  1.2509479776E-01, -3.5654054169E-01,  4.8163533945E-01
205,  1.4619912524E-01, -4.0077844500E-01,  5.4697757025E-01
206,  8.7959329083E-02, -3.6860848955E-01,  4.5656781863E-01
207, -1.5263786061E-02, -2.6583292081E-01,  2.5056913475E-01
208, -1.0280935023E-01, -1.0896067901E-01,  6.1513287856E-03
209, -1.2325039318E-01,  7.7304740443E-02,  2.0055513363E-01
210, -6.4518111602E-02,  2.6382495011E-01,  3.2834306171E-01
211,  3.9029906502E-02,  4.2146148777E-01,  3.8243158127E-01
212,  1.2673791943E-01,  5.2551063196E-01,  3.9877271253E-01
213,  1.4718582541E-01,  5.5946305997E-01,  4.1227723456E-01
214,  8.8313234830E-02,  5.1751597887E-01,  4.2920274404E-01
215, -1.5512518293E-02,  4.0545528440E-01,  4.2096780269E-01
216, -1.0362483956E-01,  2.3977345110E-01,  3.4339829066E-01
217, -1.2459190031E-01,  4.5157450325E-02,  1.6974935063E-01
218, -6.6340944074E-02, -1.4927085873E-01,  8.2929914656E-02
219,  3.6773471321E-02, -3.1438949549E-01,  3.5116296682E-01
220,  1.2409771445E-01, -4.2551112624E-01,  5.4960884068E-01
221,  1.4421289621E-01, -4.6614267814E-01,  6.1035557435E-01
222,  8.5058981983E-02, -4.3049742982E-01,  5.1555641180E-01
223, -1.8997141730E-02, -3.2437713310E-01,  3.0537999137E-01
224, -1.0729006244E-01, -1.6428986932E-01,  5.6999806879E-02
225, -1.2838978936E-01,  2.5062063263E-02,  1.5345185263E-01
226, -7.0225973875E-02,  2.1454178579E-01,  2.8476775966E-01
227,  3.2843939374E-02,  3.7501262967E-01,  3.4216869030E-01
228,  1.2016304642E-01,  4.8177292615E-01,  3.6160987973E-01
229,  1.4030889311E-01,  5.1831563889E-01,  3.7800674577E-01
230,  8.1217678169E-02,  4.7884047027E-01,  3.9762279211E-01
231, -2.2747593651E-02,  3.6913599639E-01,  3.9188359004E-01
232, -1.1092542596E-01,  2.0569753394E-01,  3.1662295990E-01
233, -1.3188970509E-01,  1.3215036089E-02,  1.4510474117E-01
234, -7.3573855432E-02, -1.7918653785E-01,  1.0561268242E-01
235,  2.9661065502E-02, -3.4238200916E-01,  3.7204307466E-01
236,  1.1715474784E-01, -4.5168076718E-01,  5.6883551502E-01
237,  1.3748157579E-01, -4.9058640163E-01,  6.2806797742E-01
238,  7.8574858634E-02, -4.5330881022E-01,  5.3188366886E-01
239, -2.5204996808E-02, -3.4564633654E-01,  3.2044133973E-01
240, -1.1319878980E-01, -1.8410364124E-01,  7.0904851438E-02
241, -1.3398239670E-01,  6.6203966097E-03,  1.4060279331E-01
242, -7.5490929600E-02,  1.9739230310E-01,  2.7288323270E-01
243,  2.7913159416E-02,  3.5907878858E-01,  3.3116562917E-01
244,  1.1556844510E-01,  4.6698152652E-01,  3.5141308141E-01
245,  1.3604845765E-01,  5.0459677642E-01,  3.6854831877E-01
246,  7.7285892972E-02,  4.6612748142E-01,  3.8884158845E-01
