idx,x,y,z,K_approx,K_exact,abs_err
132,9.131887E-01,************,3.433584E-01,1.183893E+00,1.000000E+00,1.838934E-01
133,************,************,3.383459E-01,1.183718E+00,1.000000E+00,1.837177E-01
134,2.996667E-01,8.939177E-01,3.333333E-01,1.183561E+00,1.000000E+00,1.835612E-01
135,3.835814E-01,************,3.283208E-01,1.183423E+00,1.000000E+00,1.834226E-01
136,************,3.780628E-01,3.233083E-01,1.183300E+00,1.000000E+00,1.833005E-01
137,8.966443E-01,3.077610E-01,3.182957E-01,1.183194E+00,1.000000E+00,1.831939E-01
138,************,************,3.132832E-01,1.183102E+00,1.000000E+00,1.831017E-01
139,************,9.233273E-01,3.082707E-01,1.183023E+00,1.000000E+00,1.830229E-01
140,7.938890E-01,************,3.032581E-01,1.182957E+00,1.000000E+00,1.829567E-01
141,************,************,2.982456E-01,1.182902E+00,1.000000E+00,1.829021E-01
142,5.963858E-01,7.472204E-01,2.932331E-01,1.182858E+00,1.000000E+00,1.828584E-01
143,6.508739E-02,************,2.882206E-01,1.185896E+00,1.000000E+00,1.858959E-01
144,************,6.615098E-01,2.832080E-01,1.185867E+00,1.000000E+00,1.858670E-01
145,9.603416E-01,************,2.781955E-01,1.185848E+00,1.000000E+00,1.858483E-01
146,************,************,2.731830E-01,1.185839E+00,1.000000E+00,1.858392E-01
147,1.029327E-01,9.578567E-01,2.681704E-01,1.185839E+00,1.000000E+00,1.858392E-01
148,5.719424E-01,************,2.631579E-01,1.185848E+00,1.000000E+00,1.858477E-01
149,************,1.868087E-01,2.581454E-01,1.185864E+00,1.000000E+00,1.858643E-01
150,8.262516E-01,5.032217E-01,2.531328E-01,1.185889E+00,1.000000E+00,1.858885E-01
151,************,************,2.481203E-01,1.185920E+00,1.000000E+00,1.859200E-01
152,************,8.693839E-01,2.431078E-01,1.185958E+00,1.000000E+00,1.859583E-01
153,9.056336E-01,************,2.380952E-01,1.186003E+00,1.000000E+00,1.860030E-01
154,************,************,2.330827E-01,1.183839E+00,1.000000E+00,1.838393E-01
155,4.298037E-01,8.736434E-01,2.280702E-01,1.183795E+00,1.000000E+00,1.837952E-01
156,2.735394E-01,************,2.230576E-01,1.183756E+00,1.000000E+00,1.837557E-01
157,************,5.057257E-01,2.180451E-01,1.183721E+00,1.000000E+00,1.837205E-01
158,9.581680E-01,1.911312E-01,2.130326E-01,1.183689E+00,1.000000E+00,1.836893E-01
159,************,************,2.080201E-01,1.183662E+00,1.000000E+00,1.836618E-01
160,************,9.733284E-01,2.030075E-01,1.183638E+00,1.000000E+00,1.836378E-01
161,7.370431E-01,************,1.979950E-01,1.183617E+00,1.000000E+00,1.836170E-01
162,************,************,1.929825E-01,1.183599E+00,1.000000E+00,1.835991E-01
163,7.095798E-01,6.790904E-01,1.879699E-01,1.183584E+00,1.000000E+00,1.835840E-01
164,************,************,1.829574E-01,1.183571E+00,1.000000E+00,1.835713E-01
165,************,7.676883E-01,1.779449E-01,1.183561E+00,1.000000E+00,1.835610E-01
166,9.733892E-01,************,1.729323E-01,1.183553E+00,1.000000E+00,1.835528E-01
167,************,************,1.679198E-01,1.183546E+00,1.000000E+00,1.835465E-01
168,2.352901E-01,9.581752E-01,1.629073E-01,1.183542E+00,1.000000E+00,1.835420E-01
169,4.741336E-01,************,1.578947E-01,1.183539E+00,1.000000E+00,1.835391E-01
170,************,3.186752E-01,1.528822E-01,1.183538E+00,1.000000E+00,1.835376E-01
171,9.057345E-01,3.972147E-01,1.478697E-01,1.183537E+00,1.000000E+00,1.835374E-01
172,************,************,1.428571E-01,1.183538E+00,1.000000E+00,1.835384E-01
173,************,9.383642E-01,1.378446E-01,1.183540E+00,1.000000E+00,1.835404E-01
174,8.681812E-01,************,1.328321E-01,1.183543E+00,1.000000E+00,1.835433E-01
175,************,************,1.278195E-01,1.183547E+00,1.000000E+00,1.835471E-01
176,5.529295E-01,8.241283E-01,1.228070E-01,1.183551E+00,1.000000E+00,1.835514E-01
177,1.490688E-01,************,1.177945E-01,1.183556E+00,1.000000E+00,1.835564E-01
178,************,6.236087E-01,1.127820E-01,1.183562E+00,1.000000E+00,1.835618E-01
179,9.921945E-01,6.273652E-02,1.077694E-01,1.183568E+00,1.000000E+00,1.835676E-01
180,************,************,1.027569E-01,1.183574E+00,1.000000E+00,1.835737E-01
181,2.427228E-02,9.949155E-01,9.774436E-02,1.183580E+00,1.000000E+00,1.835800E-01
182,6.544734E-01,************,9.273183E-02,1.183586E+00,1.000000E+00,1.835864E-01
183,************,1.112648E-01,8.771930E-02,1.183593E+00,1.000000E+00,1.835929E-01
184,8.054350E-01,5.868851E-01,8.270677E-02,1.183599E+00,1.000000E+00,1.835994E-01
185,************,************,7.769424E-02,1.183606E+00,1.000000E+00,1.836058E-01
186,************,8.543291E-01,7.268170E-02,1.183612E+00,1.000000E+00,1.836121E-01
187,9.568979E-01,************,6.766917E-02,1.183618E+00,1.000000E+00,1.836182E-01
188,************,************,6.265664E-02,1.183624E+00,1.000000E+00,1.836241E-01
189,3.652374E-01,9.291280E-01,5.764411E-02,1.183630E+00,1.000000E+00,1.836297E-01
190,3.584016E-01,************,5.263158E-02,1.183635E+00,1.000000E+00,1.836350E-01
191,************,4.453042E-01,4.761905E-02,1.183640E+00,1.000000E+00,1.836399E-01
192,9.603067E-01,2.756731E-01,4.260652E-02,1.183644E+00,1.000000E+00,1.836444E-01
193,************,************,3.759398E-02,1.183649E+00,1.000000E+00,1.836485E-01
194,************,9.811009E-01,3.258145E-02,1.183652E+00,1.000000E+00,1.836521E-01
195,8.034867E-01,************,2.756892E-02,1.183655E+00,1.000000E+00,1.836553E-01
196,************,************,2.255639E-02,1.183658E+00,1.000000E+00,1.836580E-01
197,6.628023E-01,7.485889E-01,1.754386E-02,1.183660E+00,1.000000E+00,1.836601E-01
198,1.693597E-02,************,1.253133E-02,1.183662E+00,1.000000E+00,1.836618E-01
199,************,7.258016E-01,7.518797E-03,1.183663E+00,1.000000E+00,1.836629E-01
200,9.975058E-01,************,2.506266E-03,1.183663E+00,1.000000E+00,1.836634E-01
201,************,************,************,1.183663E+00,1.000000E+00,1.836634E-01
202,1.574741E-01,9.874945E-01,************,1.183663E+00,1.000000E+00,1.836629E-01
203,5.508987E-01,************,************,1.183662E+00,1.000000E+00,1.836618E-01
204,************,2.431730E-01,************,1.183660E+00,1.000000E+00,1.836601E-01
205,8.792908E-01,4.757508E-01,************,1.183658E+00,1.000000E+00,1.836580E-01
206,************,************,************,1.183655E+00,1.000000E+00,1.836553E-01
207,************,9.172632E-01,************,1.183652E+00,1.000000E+00,1.836521E-01
208,9.121379E-01,************,************,1.183649E+00,1.000000E+00,1.836485E-01
209,************,************,************,1.183644E+00,1.000000E+00,1.836444E-01
210,4.861292E-01,8.725886E-01,************,1.183640E+00,1.000000E+00,1.836399E-01
211,2.309104E-01,************,************,1.183635E+00,1.000000E+00,1.836350E-01
212,************,5.602580E-01,************,1.183630E+00,1.000000E+00,1.836297E-01
213,9.874452E-01,1.450036E-01,************,1.183624E+00,1.000000E+00,1.836241E-01
214,************,************,************,1.183618E+00,1.000000E+00,1.836182E-01
215,************,9.956626E-01,************,1.183612E+00,1.000000E+00,1.836121E-01
216,7.151162E-01,************,************,1.183606E+00,1.000000E+00,1.836058E-01
217,************,2.916533E-02,************,1.183599E+00,1.000000E+00,1.835994E-01
218,7.539043E-01,6.511019E-01,************,1.183593E+00,1.000000E+00,1.835929E-01
219,************,************,************,1.183586E+00,1.000000E+00,1.835864E-01
220,************,8.071834E-01,************,1.183580E+00,1.000000E+00,1.835800E-01
221,9.740108E-01,************,************,1.183574E+00,1.000000E+00,1.835737E-01
222,************,************,************,1.183568E+00,1.000000E+00,1.835676E-01
223,2.859194E-01,9.515936E-01,************,1.183562E+00,1.000000E+00,1.835618E-01
224,4.317112E-01,************,************,1.183556E+00,1.000000E+00,1.835564E-01
225,************,3.675779E-01,************,1.183551E+00,1.000000E+00,1.835514E-01
226,9.274458E-01,3.514349E-01,************,1.183547E+00,1.000000E+00,1.835471E-01
227,************,************,************,1.183543E+00,1.000000E+00,1.835433E-01
228,************,9.533259E-01,************,1.183540E+00,1.000000E+00,1.835404E-01
229,8.414467E-01,************,************,1.183538E+00,1.000000E+00,1.835384E-01
230,************,************,************,1.183537E+00,1.000000E+00,1.835374E-01
231,5.917846E-01,7.914657E-01,************,1.183538E+00,1.000000E+00,1.835376E-01
232,9.818542E-02,************,************,1.183539E+00,1.000000E+00,1.835391E-01
233,************,6.576447E-01,************,1.183542E+00,1.000000E+00,1.835420E-01
234,9.857290E-01,1.188828E-02,************,1.183546E+00,1.000000E+00,1.835465E-01
235,************,************,************,1.183553E+00,1.000000E+00,1.835528E-01
236,7.420258E-02,9.812388E-01,************,1.183561E+00,1.000000E+00,1.835610E-01
237,6.075343E-01,************,************,1.183571E+00,1.000000E+00,1.835713E-01
238,************,1.594012E-01,************,1.183584E+00,1.000000E+00,1.835840E-01
239,8.214833E-01,5.365845E-01,************,1.183599E+00,1.000000E+00,1.835991E-01
240,************,************,************,1.183617E+00,1.000000E+00,1.836170E-01
241,************,8.634635E-01,************,1.183638E+00,1.000000E+00,1.836378E-01
242,9.227528E-01,************,************,1.183662E+00,1.000000E+00,1.836618E-01
243,************,************,************,1.183689E+00,1.000000E+00,1.836893E-01
244,4.029577E-01,8.888652E-01,************,1.183721E+00,1.000000E+00,1.837205E-01
245,3.029391E-01,************,************,1.183756E+00,1.000000E+00,1.837557E-01
246,************,4.779983E-01,************,1.183795E+00,1.000000E+00,1.837952E-01
247,9.471880E-01,2.202440E-01,************,1.183839E+00,1.000000E+00,1.838393E-01
248,************,************,************,1.186003E+00,1.000000E+00,1.860030E-01
249,************,9.603829E-01,************,1.185958E+00,1.000000E+00,1.859583E-01
250,7.482127E-01,************,************,1.185920E+00,1.000000E+00,1.859200E-01
251,************,************,************,1.185889E+00,1.000000E+00,1.858885E-01
252,6.765364E-01,6.896807E-01,************,1.185864E+00,1.000000E+00,1.858643E-01
253,************,************,************,1.185848E+00,1.000000E+00,1.858477E-01
254,************,7.321635E-01,************,1.185839E+00,1.000000E+00,1.858392E-01
255,9.548488E-01,************,************,1.185839E+00,1.000000E+00,1.858392E-01
