x,k,symbol
  2.9000000000E+00,  1.4500000000E+00,  1.7613914954E+00
  3.0000000000E+00,  1.5000000000E+00,  1.8027756377E+00
  3.1000000000E+00,  1.5500000000E+00,  1.8445866746E+00
  3.2000000000E+00,  1.6000000000E+00,  1.8867962264E+00
  3.3000000000E+00,  1.6500000000E+00,  1.9293781382E+00
  3.4000000000E+00,  1.7000000000E+00,  1.9723082923E+00
  3.5000000000E+00,  1.7500000000E+00,  2.0155644371E+00
  3.6000000000E+00,  1.8000000000E+00,  2.0591260282E+00
  3.7000000000E+00,  1.8500000000E+00,  2.1029740845E+00
  3.8000000000E+00,  1.9000000000E+00,  2.1470910554E+00
  3.9000000000E+00,  1.9500000000E+00,  2.1914607001E+00
  4.0000000000E+00,  2.0000000000E+00,  2.2360679775E+00
  4.1000000000E+00,  2.0500000000E+00,  2.2808989456E+00
  4.2000000000E+00,  2.1000000000E+00,  2.3259406699E+00
  4.3000000000E+00,  2.1500000000E+00,  2.3711811403E+00
  4.4000000000E+00,  2.2000000000E+00,  2.4166091947E+00
  4.5000000000E+00,  2.2500000000E+00,  2.4622144504E+00
  4.6000000000E+00,  2.3000000000E+00,  2.5079872408E+00
  4.7000000000E+00,  2.3500000000E+00,  2.5539185578E+00
  4.8000000000E+00,  2.4000000000E+00,  2.6000000000E+00
  4.9000000000E+00,  2.4500000000E+00,  2.6462237245E+00
  5.0000000000E+00,  2.5000000000E+00,  2.6925824036E+00
  5.1000000000E+00,  2.5500000000E+00,  2.7390691850E+00
  5.2000000000E+00,  2.6000000000E+00,  2.7856776554E+00
  5.3000000000E+00,  2.6500000000E+00,  2.8324018077E+00
  5.4000000000E+00,  2.7000000000E+00,  2.8792360098E+00
  5.5000000000E+00,  2.7500000000E+00,  2.9261749777E+00
  5.6000000000E+00,  2.8000000000E+00,  2.9732137495E+00
  5.7000000000E+00,  2.8500000000E+00,  3.0203476621E+00
  5.8000000000E+00,  2.9000000000E+00,  3.0675723300E+00
  5.9000000000E+00,  2.9500000000E+00,  3.1148836254E+00
  6.0000000000E+00,  3.0000000000E+00,  3.1622776602E+00
  6.1000000000E+00,  3.0500000000E+00,  3.2097507691E+00
  6.2000000000E+00,  3.1000000000E+00,  3.2572994950E+00
  6.3000000000E+00,  3.1500000000E+00,  3.3049205739E+00
  6.4000000000E+00,  3.2000000000E+00,  3.3526109228E+00
