x,y,u_numeric,u_exact,abs_error
  0.8750,  0.0500, -5.9895467105E-02,  5.9864878022E-02,  1.1976034513E-01
  0.9000,  0.0500, -4.8365608898E-02,  4.8340908203E-02,  9.6706517101E-02
  0.9250,  0.0500, -3.6537560629E-02,  3.6518900611E-02,  7.3056461240E-02
  0.9500,  0.0500, -2.4484246148E-02,  2.4471741852E-02,  4.8955988001E-02
  0.9750,  0.0500, -1.2279978149E-02,  1.2273706668E-02,  2.4553684816E-02
  1.0000,  0.0500,  0.0000000000E+00,  1.9157696689E-17,  1.9157696689E-17
  0.0000,  0.0750,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.0750, -1.8325271009E-02,  1.8315912150E-02,  3.6641183159E-02
  0.0500,  0.0750, -3.6537560629E-02,  3.6518900611E-02,  7.3056461240E-02
  0.0750,  0.0750, -5.4524584037E-02,  5.4496737906E-02,  1.0902132194E-01
  0.1000,  0.0750, -7.2175445254E-02,  7.2138584690E-02,  1.4431402994E-01
  0.1250,  0.0750, -8.9381320850E-02,  8.9335673110E-02,  1.7871699396E-01
  0.1500,  0.0750, -1.0603613088E-01,  1.0598197740E-01,  2.1201810828E-01
  0.1750,  0.0750, -1.2203719290E-01,  1.2197486755E-01,  2.4401206046E-01
  0.2000,  0.0750, -1.3728585505E-01,  1.3721574209E-01,  2.7450159714E-01
  0.2250,  0.0750, -1.5168810425E-01,  1.5161063595E-01,  3.0329874020E-01
  0.2500,  0.0750, -1.6515514584E-01,  1.6507079982E-01,  3.3022594566E-01
  0.2750,  0.0750, -1.7760395104E-01,  1.7751324732E-01,  3.5511719836E-01
  0.3000,  0.0750, -1.8895776883E-01,  1.8886126662E-01,  3.7781903545E-01
  0.3250,  0.0750, -1.9914659913E-01,  1.9904489341E-01,  3.9819149254E-01
  0.3500,  0.0750, -2.0810762443E-01,  2.0800134224E-01,  4.1610896667E-01
  0.3750,  0.0750, -2.1578559702E-01,  2.1567539363E-01,  4.3146099064E-01
  0.4000,  0.0750, -2.2213317965E-01,  2.2201973449E-01,  4.4415291414E-01
  0.4250,  0.0750, -2.2711123735E-01,  2.2699524987E-01,  4.5410648722E-01
  0.4500,  0.0750, -2.3068907876E-01,  2.3057126405E-01,  4.6126034281E-01
  0.4750,  0.0750, -2.3284464529E-01,  2.3272572971E-01,  4.6557037500E-01
  0.5000,  0.0750, -2.3356464715E-01,  2.3344536386E-01,  4.6701001100E-01
  0.5250,  0.0750, -2.3284464529E-01,  2.3272572971E-01,  4.6557037500E-01
  0.5500,  0.0750, -2.3068907876E-01,  2.3057126405E-01,  4.6126034281E-01
  0.5750,  0.0750, -2.2711123735E-01,  2.2699524987E-01,  4.5410648722E-01
  0.6000,  0.0750, -2.2213317965E-01,  2.2201973449E-01,  4.4415291414E-01
  0.6250,  0.0750, -2.1578559702E-01,  2.1567539363E-01,  4.3146099064E-01
  0.6500,  0.0750, -2.0810762443E-01,  2.0800134224E-01,  4.1610896667E-01
  0.6750,  0.0750, -1.9914659913E-01,  1.9904489341E-01,  3.9819149254E-01
  0.7000,  0.0750, -1.8895776883E-01,  1.8886126662E-01,  3.7781903545E-01
  0.7250,  0.0750, -1.7760395104E-01,  1.7751324732E-01,  3.5511719836E-01
  0.7500,  0.0750, -1.6515514584E-01,  1.6507079982E-01,  3.3022594566E-01
  0.7750,  0.0750, -1.5168810425E-01,  1.5161063595E-01,  3.0329874020E-01
  0.8000,  0.0750, -1.3728585505E-01,  1.3721574209E-01,  2.7450159714E-01
  0.8250,  0.0750, -1.2203719290E-01,  1.2197486755E-01,  2.4401206046E-01
  0.8500,  0.0750, -1.0603613088E-01,  1.0598197740E-01,  2.1201810828E-01
  0.8750,  0.0750, -8.9381320850E-02,  8.9335673110E-02,  1.7871699396E-01
  0.9000,  0.0750, -7.2175445254E-02,  7.2138584690E-02,  1.4431402994E-01
  0.9250,  0.0750, -5.4524584037E-02,  5.4496737906E-02,  1.0902132194E-01
  0.9500,  0.0750, -3.6537560629E-02,  3.6518900611E-02,  7.3056461240E-02
  0.9750,  0.0750, -1.8325271009E-02,  1.8315912150E-02,  3.6641183159E-02
  1.0000,  0.0750,  0.0000000000E+00,  2.8588811762E-17,  2.8588811762E-17
  0.0000,  0.1000,  0.0000000000E+00,  0.0000000000E+00,  0.0000000000E+00
  0.0250,  0.1000, -2.4257582480E-02,  2.4245193943E-02,  4.8502776423E-02
  0.0500,  0.1000, -4.8365608898E-02,  4.8340908203E-02,  9.6706517101E-02
  0.0750,  0.1000, -7.2175445254E-02,  7.2138584690E-02,  1.4431402994E-01
  0.1000,  0.1000, -9.5540295989E-02,  9.5491502813E-02,  1.9103179880E-01
  0.1250,  0.1000, -1.1831610903E-01,  1.1825568407E-01,  2.3657179310E-01
  0.1500,  0.1000, -1.4036246391E-01,  1.4029077970E-01,  2.8065324362E-01
  0.1750,  0.1000, -1.6154343753E-01,  1.6146093603E-01,  3.2300437356E-01
  0.2000,  0.1000, -1.8172844214E-01,  1.8163563200E-01,  3.6336407414E-01
  0.2250,  0.1000, -2.0079303047E-01,  2.0069048390E-01,  4.0148351437E-01
  0.2500,  0.1000, -2.1861966300E-01,  2.1850801222E-01,  4.3712767522E-01
  0.2750,  0.1000, -2.3509843260E-01,  2.3497836599E-01,  4.7007679860E-01
  0.3000,  0.1000, -2.5012774219E-01,  2.5000000000E-01,  5.0012774219E-01
  0.3250,  0.1000, -2.6361493108E-01,  2.6348030087E-01,  5.2709523195E-01
  0.3500,  0.1000, -2.7547684625E-01,  2.7533615807E-01,  5.5081300433E-01
  0.3750,  0.1000, -2.8564035506E-01,  2.8549447630E-01,  5.7113483137E-01
  0.4000,  0.1000, -2.9404279610E-01,  2.9389262615E-01,  5.8793542225E-01
  0.4250,  0.1000, -3.0063236552E-01,  3.0047883022E-01,  6.0111119574E-01
  0.4500,  0.1000, -3.0536843644E-01,  3.0521248239E-01,  6.1058091883E-01
  0.4750,  0.1000, -3.0822180940E-01,  3.0806439811E-01,  6.1628620751E-01
  0.5000,  0.1000, -3.0917489241E-01,  3.0901699437E-01,  6.1819188679E-01
  0.5250,  0.1000, -3.0822180940E-01,  3.0806439811E-01,  6.1628620751E-01
  0.5500,  0.1000, -3.0536843644E-01,  3.0521248239E-01,  6.1058091883E-01
  0.5750,  0.1000, -3.0063236552E-01,  3.0047883022E-01,  6.0111119574E-01
  0.6000,  0.1000, -2.9404279610E-01,  2.9389262615E-01,  5.8793542225E-01
  0.6250,  0.1000, -2.8564035506E-01,  2.8549447630E-01,  5.7113483137E-01
  0.6500,  0.1000, -2.7547684625E-01,  2.7533615807E-01,  5.5081300433E-01
  0.6750,  0.1000, -2.6361493108E-01,  2.6348030087E-01,  5.2709523195E-01
  0.7000,  0.1000, -2.5012774219E-01,  2.5000000000E-01,  5.0012774219E-01
  0.7250,  0.1000, -2.3509843260E-01,  2.3497836599E-01,  4.7007679860E-01
  0.7500,  0.1000, -2.1861966300E-01,  2.1850801222E-01,  4.3712767522E-01
  0.7750,  0.1000, -2.0079303047E-01,  2.0069048390E-01,  4.0148351437E-01
  0.8000,  0.1000, -1.8172844214E-01,  1.8163563200E-01,  3.6336407414E-01
  0.8250,  0.1000, -1.6154343753E-01,  1.6146093603E-01,  3.2300437356E-01
  0.8500,  0.1000, -1.4036246391E-01,  1.4029077970E-01,  2.8065324362E-01
  0.8750,  0.1000, -1.1831610903E-01,  1.1825568407E-01,  2.3657179310E-01
  0.9000,  0.1000, -9.5540295989E-02,  9.5491502813E-02,  1.9103179880E-01
  0.9250,  0.1000, -7.2175445254E-02,  7.2138584690E-02,  1.4431402994E-01
